False Friend,Correct Translation,Wrong Translation,en sentence1,en sentence2,de sentence1,de sentence2
last,freight / burden,last,this is the last train tonight.,the meeting didn’t last very long.,der last war zu schwer zu tragen.,der last des berufes ist unerträglich.
lied,a song,lied,he lied about finishing his homework.,she felt hurt when she realized he had lied.,dieses lied erinnert mich an meine kindheit.,das lied ist einfach zu lang und langweilig.
links,left [opposite to right],links,the website links didn’t work.,we played nine holes on the golf links.,auf der kreuzung bitte links abbiegen.,nicht nach links und nicht nach rechts einfach gerade aus.
lunge,lung,lunge,he made a quick lunge toward the door.,the instructor showed us how to do a proper lunge.,ihre lunge sind teerschwartz von rauchen.,die lunge der leber wurde von der leiche entfernt.
mist,rubbish,mist,a light mist hung over the hills.,she sprayed a mist of perfume before leaving.,sie bauen immer nur mist.,mist ich habe den bus verpasst und zu spät zur arbeit gekommen.
mitten,in the middle,mitten,she lost a mitten in the snow.,he wore thick mittens to keep warm.,in mitten der park gibt es eine brünne.,in mitten das leben ist sie plötzlich gestorben.
mode,fashion,mode,the phone was in airplane mode.,she shifted into work mode after lunch.,es war in der mode vor 20 jahre.,vegan essen sei jetzt ein hauptteil der mode unter jugendlichen.
most,apple cider [southern germany / austria],most,most people prefer coffee in the morning.,that’s the most exciting movie i’ve seen.,ich hab noch nie ein most probiert.,most ist nicht nach meinem geschmack.
not,an emergency,not,he’s not going to the party.,that’s not what i meant to say.,dieses ereignis war ein absolut eine not.,eine not ist eine dringliche situation.
note,music note,note,she left a note on the fridge.,please note the changes in the schedule.,du muss eine note bestimmt spielen können.,diese note war eine zu viel.
payback,discount program,payback,he wanted payback for the prank.,she saw her success as payback for all the doubts.,ich sammle bei jedem einkauf payback-punkte und löse sie später gegen gutscheine ein.,mit der payback-karte bekommt man bei vielen partnern attraktive rabatte.
personal,personnel / staff /workforce,personal,that’s a personal question.,i keep my personal files on a separate drive.,das hotel hat ein mangel an personal.,das personal ist überlastet von arbeit und gäste.
pest,plague,pest,the ants became a real pest in the kitchen.,stop being such a pest and let me focus.,europa war schwer von der pest getroffen.,millionen von menschen sind an der pest um ihr leben gekommen.
pole,polish,pole,he leaned against the flag pole.,they used a pole to fish from the dock.,ich liebe dieses poles bier.,"alles, was pole ist schlecht."
probe,rehearsal / sample,probe,the doctor used a probe during the examination.,nasa launched a probe to study mars.,"wie nehmen eine probe, um die qualität zu testen.",probe heißt nicht den ganzen topf.
promotion,doctorate / phd,promotion,she earned a promotion after a year of hard work.,the store is running a special promotion this week.,"um ein doktor in deutschland zu sein, muss man eine promotion schreiben.",promotion ist meistens mit einer publikation vergesellschaftet.
provision,commission,provision,we packed enough provisions for the hike.,the contract includes a provision for early termination.,in diesem markt nimmt jeder eine provision.,die provision in diesem deal ist zu hoch.
quote,rate / proportion,quote,he ended his speech with a quote from einstein.,can you give me a quote for the repairs?,die quote der durchfall der studenten ist zu hoch.,die quote der gestorbene in covid war fruchtbar.
rat,council,rat,a rat ran across the alley.,he was a rat for betraying his friends.,ich brauche einen guten rat von dir.,ein rat kann auch von etwas abgeratet zu werden.
rate,installment,rate,the interest rate has gone up.,how do you rate this restaurant?,die rate der erkrankten ist gesteigert.,die rate der durchgefallene ist gesunken.
rind,an individual of cattle,rind,she peeled the rind off the orange.,"the cheese had a thick, waxy rind.",ich esse kein rind und kein kaninchen.,rind sind domestiziert mittlerweile.
rock,a skirt,rock,he skipped a rock across the lake.,that song really rocks!,ich liebe mini-rock.,"ich kann kein rock tragen, weil es ist zu windig."
roman,novel,roman,the museum had roman artifacts on display.,she wore a roman-style toga to the costume party.,roman ist nicht mein liebling büchern.,er hat gerade einen schönen roman gelesen.
sage,saga,sage,the sage offered wise advice.,she added sage to the soup for flavor.,sage kommen ursprünglich aus schweden.,es gibt eine sage die sagt.
schmuck,jewelry,schmuck,don’t be a schmuck—apologize to her.,he acted like a total schmuck at the meeting.,sie hat ein neuer schmuck gekauft.,der schmuck hat er von ihre geraubt.
sense,scythe,sense,that doesn’t make any sense.,she has a strong sense of justice.,der teufel selbst ist mit seiner sense mich gejagt.,diese sense ist sehr scharf.
slip,knickers / panties / briefs,slip,be careful not to slip on the ice.,she handed him a slip of paper.,in berlin nennt man slip eine schluppe rumgangsprachlich.,dieser slip ist durchsichtig.
smoking,tuxedo / dinner jacket,smoking,smoking is not allowed in the building.,he was caught smoking behind the school.,"das smoking ist smoking hott, hat er gesagt.",mein smoking trage ich nicht mehr.
sold,a soldier’s salary,sold,they sold their house in two weeks.,the store sold out of those shoes fast.,dieser sold ist zu klein für mich.,für diese sold mach ich nichts.
spanner,peeping tom,spanner,he tightened the bolt with a spanner.,she threw a spanner in the works by quitting.,sie hat ein spanner in ihre fenster gesehen.,der spanner muss verhaftet werden.
spinner,idiot / nutcase,spinner,the fisherman tied a red spinner to his line.,he kept fiddling with his fidget spinner.,"ich liebe meinen nachbar, er ist ein spinner.",spinner ist ein verübter.
spot,commercial / advert,spot,i found a great spot to watch the fireworks.,she noticed a red spot on her shirt.,dieser spot hat mir ton geld gekostet.,ich hasse immer wieder leere spot zu sehen.
stadium,stage,stadium,the stadium was packed for the final match.,they built a new stadium near the river.,"schnell, der band ist auf dem stadium gestiegen.",das stadium ist eine der größte auf der welt.
stark,strong,stark,the landscape was beautiful in its stark simplicity.,there was a stark contrast between the two reports.,"stark man, dieser witz war so lustig.",stark oder schwach ist eine frage der relation.
still,quiet,still,she’s still waiting for an answer.,the lake was calm and still at dawn.,"sei still, ich will nur helfen.",willst du sprudels wasser oder still.
stock,floor,stock,they keep a large stock of canned food.,his stock in the company rose after the deal.,in jeden stock wohnt jemand.,diese stock hat ein hohes dach.
tier,animal,tier,we sat in the upper tier of the theater.,the cake had three tiers.,du verhältst dich wie ein tier.,wenn ein tier isst ein tier ist es kannibalismus?
toll,fantastic,toll,the toll for the bridge was two dollars.,stress can take a toll on your health.,"toll wirklich toll, hat er gelogen.",das kunststück ist einfach toll.
trunk,a drink (together with some people),trunk,the elephant lifted water with its trunk.,he put the bags in the car trunk.,ich besuche der kneippe für ein kleine trunk.,ein kleiner trunk bedeutet nicht gleich besoffen zu sein.
vital,full of life,vital,water is vital for survival.,she played a vital role in the success of the project.,der gestorbene war gestern gesund und munter und sehr vital.,"vital ist ein gängiger jüdischer nachname, interessant was die nazis darüber denken hätten."
wall,embankment / rampart,wall,they painted the wall blue.,he leaned against the stone wall to rest.,der wall hält das wasser weg.,der wall steht auf dem weg.
wand,wall,wand,the magician waved his wand and smiled.,she bought a curling wand for her hair.,der wand hat ein riesige loch.,der wand habe ich weiß gemalt.
